source_id,book,topic,problem,pdf_question_page,pdf_answer_pages,status,dedup_status,notes,training_variants
J5-03,江四喜《物理竞赛专题精编》,5 类抛体运动,3,17-18,188-190,COMPLETE,provisionally_unique,滑环绳珠；抛物线约束、曲率半径、法向方程与断裂条件,2+1
J5-04,江四喜《物理竞赛专题精编》,5 类抛体运动,4,18,190-193,COMPLETE-CORRECTED,provisionally_unique,电场磁场回返；给出任意 d>0 的一般非对称族，并单列对称子族,2+1
J6-01,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,1,18,193-194,COMPLETE,provisionally_unique,双水平抛与地面反弹；速度比3，杆位R/2，杆高3H/4,2+1
J6-02,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,2,18,194,COMPLETE,provisionally_unique,越墙最小初速度；tan角二次式判别式为零,2+1
J6-03,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,3,19,194-196,COMPLETE,provisionally_unique,山顶遮挡；先判45度轨道是否可行，再处理高山相切分支,2+1
J6-04,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,4,19,196,COMPLETE-REFINED,provisionally_unique,足球窄高度窗口；复算低角、高角两组边界,2+1
J6-05,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,5,19,196,COMPLETE,provisionally_unique,圆环顶部缺口；弦长、抛体、能量和接触力联合检查,2+1
J6-06,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,6,19,196-197,COMPLETE-REFINED,provisionally_unique,蚱蜢越圆柱；最小速度sqrt(2gR(1+sqrt2))，起跳角67.5度,2+1
J6-07,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,7,19,197-198,COMPLETE-CORRECTED,provisionally_unique,灯泡碎片与天花板；修正低顶分支水平速度并核验连续性,2+1
J6-08,江四喜《物理竞赛专题精编》,6 有障碍的抛体运动,8,19,198-199,COMPLETE-CORRECTED,provisionally_unique,斜掩蔽所；45度可行阈值补回因子2,2+1
